playlist,track_id,track_name,artist_name,album_name,release_date,popularity,added_at
Top 50 - United States,0je57Uq5eTk1wrPzn9sWbl,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025-08-29,92,2025-10-02T21:13:16Z
Top 50 - United States,1CPZ5BxNNd0n0nF4Orb9JS,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,100,2025-10-02T21:13:16Z
Top 50 - United States,1qbmS6ep2hbBRaEZFpn7BX,Man I Need,Olivia Dean,Man I Need,2025-08-15,94,2025-10-02T21:13:16Z
Top 50 - United States,7qjZnBKE73H4Oxkopwulqe,back to friends,sombr,I Barely Know Her,2025-08-22,91,2025-10-02T21:13:16Z
Top 50 - United States,6Cf1vqSNtka62rt74OQwjk,Somewhere Only We Know,Umur Anil Gokdag,Somewhere Only We Know,2022-12-09,57,2025-10-02T21:13:16Z
Top 50 - United States,04a44cx2PJthIbN2aLMXhl,TIT FOR TAT,Tate McRae,TIT FOR TAT,2025-09-26,86,2025-10-02T21:13:16Z
Top 50 - United States,1BrQRA3j6Ua6zj6xvb2mU7,Sugar On My Tongue,"Tyler, The Creator",DON'T TAP THE GLASS,2025-07-20,61,2025-10-02T21:13:16Z
Top 50 - United States,42VUCXerQ5qTr4Qp6PhKo4,Tears,Sabrina Carpenter,Man’s Best Friend,2025-08-29,94,2025-10-02T21:13:16Z
Top 50 - United States,6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,Ordinary,2025-02-07,92,2025-10-02T21:13:16Z
Top 50 - United States,1kBxioGjH3oHJyihNfaP3r,Around The World (La La La La),"Umur Anil Gokdag, Ascence",Around The World (La La La La),2023-09-10,51,2025-10-02T21:13:16Z
Top 50 - United States,48NthgcgfoRrWT8LtgW28A,What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",I’m The Problem,2025-05-16,71,2025-10-02T21:13:16Z
Top 50 - United States,7rcbwjIaZ5jEgyFk35Bqfj,DAISIES,Justin Bieber,SWAG,2025-07-11,77,2025-10-02T21:13:16Z
Top 50 - United States,1mL7JyGfEeyT6TAgkuv7PC,"CLICK, FLASH! (Main Character)",sped up kid,"CLICK, FLASH! (Main Character)",2025-08-20,50,2025-10-02T21:13:16Z
Top 50 - United States,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,94,2025-10-02T21:13:16Z
Top 50 - United States,3r96oniuNKeciRpvF3GwHn,Animals,Umur Anil Gokdag,Animals,2024-03-25,53,2025-10-02T21:13:16Z
Top 50 - United States,1UNEuG9DYOWiikf00ayr52,Love Me Not,Ravyn Lenae,Love Me Not / Love Is Blind,2024-05-03,85,2025-10-02T21:13:16Z
Top 50 - United States,2KseL1yk7NA20n9TzHWYJW,Where We Gon' Go (Step by Step),MNA55,Where We Gon' Go (Step by Step),2024-06-21,53,2025-10-02T21:13:16Z
Top 50 - United States,4bkGwbQLNFsAAt0mBNsXEM,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025-08-29,57,2025-10-02T21:13:16Z
Top 50 - United States,2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),2025-05-30,91,2025-10-02T21:13:16Z
Top 50 - United States,6y29RB4vTw1y5u0VNohTUt,This Is The Life,"Umur Anil Gokdag, Benedetta Caretta",This Is The Life,2024-03-26,53,2025-10-02T21:13:16Z
Top 50 - United States,3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,Submarine,2024-05-31,90,2025-10-02T21:13:16Z
